id,name,address,category,type,validity,area,rating,
,KZ TRAVEL AND TOURS SDN. BHD.,"GLL 08 (C) DAN GLL 10 (D), LAPANGAN TERBANG SULTAN MAHMUD, 21300 KUALA TERENGGANU, Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,30/01/20 - 19/03/27,Kuala Terengganu,4.2,
,LAGUNA REDANG TRAVEL & TOURS SDN. BHD.,"S-1, Ground Floor, Wisma Tenang, Jalan Sultan Sulaiman, 20000 Kuala Terengganu, Terengganu",Inbound,Ibu Pejabat,22/01/17 - 23/01/26,Kuala Terengganu,4.7,
,LAGUNA REDANG TRAVEL & TOURS SDN. BHD.,"Lot No Gll 9(C) Lapangan Terbang Sultan Mahmud 21300 Kuala Terengganu, Terengganu Darul Iman, Terengganu",Inbound,Cawangan,22/01/17 - 23/01/26,Kuala Terengganu,4.7,
,RADWA TRAVEL & TOURS SDN. BHD.,"7095-A WAKAF TENGAH, MENGABANG TELIPOT, 21030 KUALA TERENGGANU, Terengganu","Inbound, Outbound, Ticket, Umrah atau Ziarah",Ibu Pejabat,08/05/17 - 08/05/26,Kuala Terengganu,no review yet,Juqi
,RAEF TRAVEL & TOURS SDN BHD,"NO.22C, JALAN BESAR, 22000 JERTEH, TERENGGANU, Terengganu","Inbound, Outbound, Ticket, Umrah atau Ziarah",Ibu Pejabat,15/01/24 - 15/01/25,Besut,5,
,RAUDHAH JAYA TRAVEL & TOURS SDN BHD,"PT18261-2, TINGKAT ATAS, JALAN AIR PUTIH,KG. JAYA, 24000 KEMAMAN, Terengganu","Inbound, Outbound, Ticket, Umrah",Ibu Pejabat,02/05/19 - 14/05/26,Kemaman,5,
,RAY RENT HOLIDAYS & TOURS SDN. BHD.,"LOT 21865, JALAN KUBANG KURUS, TAMAN CHUKAI UTAMA, 24000 KEMAMAN TERENGGANU, Terengganu","Inbound, Outbound, Ticket",Ibu Pejabat,02/07/20 - 09/08/26,Kemaman,no review yet,
,RAYHAR TRAVEL SDN. BHD.,"LOT 123, JALAN BESAR JERTEH, 22000 JERTEH, TERENGGANU DARUL IMAN, Terengganu","Inbound, Outbound, Ticket, Umrah atau Ziarah",Cawangan,31/12/16 - 01/01/26,Besut,4.3,
,RAYHAR TRAVEL SDN. BHD.,"LOT 50098, PEKAN KUALA BERANG, JALAN BESAR, 21700 HULU TERENGGANU, TRG, Terengganu","Inbound, Outbound, Ticket, Umrah atau Ziarah",Cawangan,31/12/16 - 01/01/26,Hulu Terengganu,4.3,
,RAYHAR TRAVEL SDN. BHD.,"LOT 21862, TINGKAT BAWAH 1 & 2, SUSUR CHUKAI UTAMA, TAMAN CUKAI UTAMA, KUBANG KURUS, KEMAMAN, Terengganu","Inbound, Outbound, Ticket, Umrah atau Ziarah",Cawangan,01/12/16 - 01/01/26,Kemaman,4.3,
,RAYHAR TRAVELS SDN. BHD,"TINGKAT 1, WISMA KOKITAB, JALAN SULTAN ISMAIL,20200 KUALA TERENGGANU, Terengganu","Inbound, Outbound, Ticket, Umrah atau Ziarah",Cawangan,31/12/16 - 01/01/26,Kuala Terengganu,4.3,
,RAYHAR TRAVELS SDN. BHD,"LOT 2894 TAMAN ROS BATU 48 JALAN PAKA 23000 DUNGUN TERENGGANU DARUL IMAN, Terengganu","Inbound, Outbound, Ticket, Umrah atau Ziarah",Cawangan,31/12/16 - 01/01/26,Dungun,4.3,
,RAYHAR TRAVELS SDN. BHD.,"No. 1341-1, Di Hadapan Sek Men. Sultan Ismail, Kg. Besut, 24000 Kemaman,, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Ibu Pejabat,31/12/16 - 01/01/26,Kemaman,4.3,
,RAYHAR TRAVELS SDN. BHD.,"NO.IKS-08A & IKS-08B, BANDAR CENEH BAHARU, 24000 KEMAMAN, TERENGGANU., Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Cawangan,26/06/19 - 01/01/26,Kemaman,4.3,
,RAZNA TRAVEL & TOURS SDN. BHD.,"PT37756 TINGKAT 1, RIMBA JAYA SQUARE GONG PAK DAMAT, 21200 KUALA TERENGGANU, Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,18/12/17 - 19/10/26,Kuala Terengganu,4,
,REDANG AQUATIC ADVENTURE SDN. BHD,"NO. 28-28A, JALAN TOK LAM, KUALA TERENGGANU, 20100, Terengganu","Inbound, Outbound, Ticketing",Cawangan,06/01/23 - 31/12/25,Kuala Terengganu,2.8,
,REDANG BAY RESORT TRAVEL & TOURS SDN. BHD.,"NO 131, JALAN BANDAR, 20100 KUALA TERENGGANU, Terengganu",Inbound,Ibu Pejabat,11/10/17 - 31/12/25,Kuala Terengganu,4.7,
,REDANG HOLIDAY BEACH RESORT SDN BHD,"No. 35, Jalan Bandar, 20100 K. Terengganu, Terengganu",Inbound,Ibu Pejabat,31/12/16 - 31/12/25,Kuala Terengganu,no review yet,
,REDANG PELANGI RESORT TOUR & TRAVEL SDN BHD,"No. 2-A, Jalan Syed Hussein, Terengganu",Inbound,Ibu Pejabat,31/12/14 - 31/12/26,Kuala Terengganu,4.2,
,REDANG REEF RESORT TRAVEL & TOURS S. BHD,"167 Jalan Bandar,20100 K. Terengganu, Terengganu., Terengganu",Inbound,Ibu Pejabat,31/12/14 - 05/12/26,Kuala Terengganu,4.3,
,RESORTS WORLD TOURS SDN BHD,"LOBBY TOUR COUNTER, RESORTS WORLD KIJAL, KM 28, JALAN KEMAMAN-DUNGUN, 24100 KIJAL, KEMAMAN, TERENGGANU, Terengganu","Inbound, Outbound, Ticketing",Cawangan,13/01/23 - 31/12/25,Kemaman,no review yet,
,RESORTS WORLD TOURS SDN. BHD.,"Lobby Tour Counter Resorts World Kijal KM 28 Jalan Kemaman-Dungun 24100 Kijal Kemaman,, Terengganu","Inbound, Outbound, Ticketing",Cawangan,29/12/22 - 31/12/25,Kemaman,no review yet,
,RISHADA LIMO & HOLIDAY SDN. BHD.,"Tingkat 1, LOT 16 BANGUNAN TH WISMA SERANGKAI 24000 KEMAMAN, TERENGGANU , Terengganu",Inbound,Ibu Pejabat,11/01/17 - 11/01/27,Kemaman,no review yet,
,RNR ILTIZAM HOLIDAYS SDN. BHD.,"LOT PT29760 TINGKAT 2, TAMAN BESTARI, GONG BADAK,21300 KUALA NERUS, TERENGGANU, Terengganu"," Inbound, Outbound, Ticketing",Ibu Pejabat,11/11/18 - 27/08/26,Kuala Nerus,no review yet,
,        S.P. LAGENDA HOLIDAYS SDN. BHD.,"NO. K -540, TINGKAT 2, JALAN PENGLIBURAN 2400 KEMAMAN, TERENGGANU, Terengganu",Inbound,Ibu Pejabat,18/11/16 - 18/11/25,Kemaman,no review yet,
,SAA TRAVEL AND TOUR SDN BHD,"LOT 4207, KAMPUNG BANGGOL, KUALA IBAI, 20400 KUALA TERENGGANU, Terengganu","Inbound, Outbound",Ibu Pejabat, 29/06/21 - 12/10/25,Kuala Terengganu,no review yet,
,SABAI TRAVEL & TOURS SDN BHD,"C140 KG. MASJID RAJA, CHENDERING, 21080 KUALA TERENGGANU, Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,29/08/23 - 28/08/27,Kuala Terengganu,3.4,
,SAID BONANZA EXPRESS TRAVEL & TOURS SDN. BHD.,"NO. 1B, TINGKAT BAWAH STESEN BAS KUALA BESUT 22300 K.BESUT, Terengganu",Inbound,Ibu Pejabat,30/06/15 - 21/02/26,Besut,3,
,SALZAN MAJU PERHENTIAN HOLIDAY SDN BHD,"NO.5 GERAI MAKAN MUARA SUNGAI KUALA BESUT, 22300 KUALA BESUT, Terengganu",Inbound,Ibu Pejabat,18/12/22 - 20/12/26,Besut,5,
,SENTUHAN MESRA TRAVEL & TOURS SDN BHD,"LOT 1454, KAMPUNG RHU BHATIL, KUALA ABANG, 23050 DUNGUN, Terengganu",Inbound,Ibu Pejabat,17/09/15 - 17/09/26,Dungun,3,
,SHAHIRA HOLIDAYS SDN BHD,"LOT 14628 A, JALAN AIR PUTIH, TAMAN PERMAI JAYA BINJAI, 24000 KEMAMAN, TERENGGANU, Terengganu",Inbound,Ibu Pejabat,10/12/23 - 07/12/24,Kemaman,no review yet,
,SHUKRAN TRAVEL & TOURS SDN. BHD.,"No.916 Tingkat 1, Jalan Mawar 1, Taman Permint Jaya Chendering, 21080 Kuala Terengganu, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Ibu Pejabat,01/11/15 - 25/05/26,Kuala Terengganu,4.7,
,SIMPLY UMH TRAVEL SERVICES SDN. BHD.,"PT 1490, JALAN TOK ADIS, KG. TOK ADIS KUALA IBAI. 20400 KUALA TERENGGANU, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Cawangan,16/04/18 - 01/07/25,Kuala Terengganu,4.4,
,SOHHOR TRAVEL & TOURS SDN BHD,"1080-I, TINGKAT 1, JALAN SULTAN SULAIMAN, 20000 KUALA TERENGGANU, Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,08/12/20 - 08/12/24,Kuala Terengganu,no review yet,
,        SRI BUMI HOLIDAYS SDN. BHD.,"R07, LOT 7913, JALAN LAPANGAN TERBANG, KAMPUNG TELAGA BATIN, 21300 KUALA TERENGGANU, Terengganu",Inbound,Ibu Pejabat,15/06/16 - 15/06/26,Kuala Terengganu,4.5,
,STEFFEN SEA SPORTDIVE &HOLIDAYS SDN. BHD.,"B9, Terminal Pelancongan K. Besut, 22300 Kuala Besut, Trg., Terengganu",Inbound,Ibu Pejabat,24/06/14 - 14/08/27,Kuala Nerus,4.5,
,SUMMER BAY TRAVELS & TOURS SDN. BHD,"219-E, TINGKAT EMPAT, HOTEL MING PARAGON, JLN SULTAN ZAINAL ABIDIN, 20000 K. TERENGGANU, Terengganu",Inbound,Ibu Pejabat,17/07/16 - 17/07/26,Kuala Terengganu,4.3,
,SUWARA TRAVEL & TOURS SDN. BHD.,"BLOK G. LOT PT4073(2), PERKEDAIAN LADANG TOK PELAM, JALAN SULTAN ZAINAL ABIDIN, 20000 KUALA TERENGGANU, Terengganu",Inbound,Ibu Pejabat,08/01/17 - 16/03/27,Kuala Terengganu,no review yet,
,SYARIKAT PELANCUNGAN YASKIN SDN BHD,"Lot 202, Tingkat 2, Bangunan Syarikat Kerjasama, Jln Sultan Ismail, 20200 Kuala Terengganu, TERENGGANU, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Cawangan,30/12/19 - 31/12/26,Kuala Terengganu,4.3,
,T HOLIDAYS TRAVEL & TOURS SDN. BHD.,"NO. 9, (ATAS) BANGUNAN KEDAI 2 TINGKAT BANDAR PERMAISURI, 22100 SETIU, TERENGGANU, Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,03/03/16 - 03/03/25,Setiu,3.8,
,TAWFIR TRAVEL & TOURS SDN. BHD.,"LOT 10726, TINGKAT BAWAH, JALAN KUBANG KURUS, TAMAN CHUKAI UTAMA, FASA 4,24000 KEMAMAN, TERENGGANU, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Ibu Pejabat,26/10/16 - 16/06/25,Kemaman,5,
,TH TRAVEL & SERVICES SDN. BHD.,"NO. 35-A, ARAS BAWAH, JALAN SULTAN ZAINAL ABIDIN 20000 KUALA TERENGGANU, Terengganu"," Inbound, Outbound, Ticketing, Umrah atau Ziarah",Cawangan,15/02/23 - 04/02/26,Kuala Terengganu,no review yet,
,TIE HOLIDAYS AND TOURS SDN. BHD,"LOT 717 B KAMPUNG BERANGAN PAK AYU BUKIT PAYUNG 21400 MARANG, TERENGGANU, Terengganu",Inbound,Ibu Pejabat,09/01/18 - 09/01/25,Marang,no review yet,
,LAMISHA EVENT & LEISURE SDN. BHD.,"No.12 Atas Perkedaian Buluh Perindu, Bandar Permaisuri, Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,14/08/16 - 14/05/26,Permaisuri,no review yet,aslid
,LEREN TRAVEL & TOURS SDN. BHD.,"219-E, Tingkat 1, Jalan Sultan Zainal Abidin Kuala Terengganu, Terengganu","Inbound, Outbound",Ibu Pejabat,10/04/14 - 10/04/26,Kuala Terengganu,4.9,
,LOVELY TRAVELS & TOURS SDN. BHD.,"No.79, Jalan Pantai, 22300 Kuala Besut, Terengganu",Inbound,Ibu Pejabat,12/10/17 - 31/12/25,Besut,no review yet,
,MA TRAVEL HOLIDAYS SDN. BHD.,"NO. 8 PERKEDAIAN MDB, KAMPUNG RAJA, 22200 BESUT, TERENGGANU DARUL IMAN, Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,14/07/16 - 14/07/26,Besut,no review yet,
,MAGHFIRAH TRAVEL & TOURS SDN. BHD.,"Lot 11874-A, First Floor, Jalan Tengku Mizan, 21200 Kuala Terengganu,, Terengganu","Inbound, Outbound, Ticketing, Umrah ",Cawangan,24/02/20 - 02/08/25,Kuala Terengganu,4.3,
,MALIARAY HOLIDAYS SDN. BHD.,"No. 80-7B, KM 8 Binjai Cukai, 24000 KEMAMAN, TERENGGANU, Terengganu","Inbound, Ticketing",Ibu Pejabat,05/01/17 - 05/01/26,Kemaman,4.5,
,MANN TRAVEL & TOURS SDN BHD - CAWANGAN KEMAMAN,"Door No.13, First Floor, Administration Building Kemaman Supply Base, Telok Kalong, 24007 Kemaman, Terengganu",Inbound,Cawangan,08/08/16 - 27/06/26,Kemaman,3.8,
,MARRA TRAVEL & TOURS SDN BHD,"2C, TINGKAT 2 WISMA KOGURU, JALAN HILIRAN, 21000 KUALA TERENGGANU, TERENGGANU, Terengganu",Inbound,Ibu Pejabat,06/03/24 - 06/03/25,Kuala Terengganu,no review yet,
,MASA PERMATA HOLIDAYS SDN. BHD.,"No 3A, Bangunan MDM, Sungai Kerak, 21600 Marang, Terengganu",Inbound,Ibu Pejabat,13/09/12 - 07/12/25,Marang,no review yet,
,MAZ TRAVEL & TOURS SDN. BHD.,"No.6, Bandar Seri Kerteh, Bandar Baru, 24300 Kerteh, Terengganu","Inbound, Ticketing",Ibu Pejabat,31/12/14 - 09/06/27,Kerteh,4.3,
,MELISA HAIQAL HOLIDAYS SDN. BHD.,"LOT 622, KAWASAN PERPINDAHAN TOK ADIS, KUALA IBAI, 21400 KUALA TERENGGANU, Terengganu",Inbound,Ibu Pejabat,03/12/13 - 12/01/25,Kuala Ibai,3,
,MHB TRAVEL & TOURS SDN. BHD.,"K-5690, Tingkat 1, Jalan Kubang Kurus, 24000 Kemaman, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Ibu Pejabat,24/10/17 - 31/12/26,Kemaman,4,
,MIEHA HOLIDAYS SDN. BHD.,"T1-1 PLAZA MARA PEKAN KUALA BESUT 22300 KUALA BESUT TERENGGANU, Terengganu",Inbound,Ibu Pejabat,08/01/17 - 07/04/26,Kuala Besut,2.5,
,MS EARTH TRAVEL & TOURS SDN BHD,"NO.112 TINGKAT 1, JALAN PUTRA A/4, TAMAN BANDAR PUTRA, KG MAK LAGAM, 24000 KEMAMAN, TERENGGANU, Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,07/12/23 - 05/12/24,Kemaman,3.4,
,MSE MENARA VACATION SDN. BHD,"NO.F1, RUMAH KEDAI 2 TINGKAT, PASAR MANIR, 21200 KUALA TERENGGANU, TERENGGANU., Terengganu",Inbound,Ibu Pejabat,08/01/18 - 21/04/27,Kuala Terengganu,no review yet,
,MUBIMO HOLIDAYS SDN. BHD.,"LOT 6108 TINGKAT ATAS, BANGUNAN KUB, TAMAN KENANGA, 21700 KUALA BERANG, Terengganu",Inbound,Ibu Pejabat,24/08/22 - 25/08/26,Kuala Berang,no review yet,
,MUKMIN TRAVEL & TOUR SDN. BHD,"NO.41092(1A) PERKEDAIAN PMINT TEPOH, JALAN KELANTAN- TERENGGANU, KUALA TERENGGANU, Terengganu","Inbound, Outbound, Ticketing, Umrah atau Ziarah",Ibu Pejabat,20/09/20 - 17/09/26,Kuala Terengganu,4.2,
,MY EDEALS HOLIDAYS SDN. BHD.,"TINGKAT 1, NO.6, TAMAN PADANG MIDIN, 21400 KUALA TERENGGANU, TERENGGANU., Terengganu",Inbound,Ibu Pejabat,25/11/16 - 19/09/27,Kuala Terengganu,3.6,
,MY ISLANDS TOURS & TRAVEL SDN. BHD.,"PT17717, TAMAN SEMARAK, BUKIT TUNGGAL KUALA NERUS, 21200 KUALA TERENGGANU, Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,21/07/17 - 21/07/26,Kuala Nerus,4.4,
,MZS TRAVEL & TOURS SDN. BHD.,"JKKK Kg. Padang Polis Batu Rakit, 21010 Kuala Terengganu, Terengganu","Inbound, Ticketing",Ibu Pejabat,03/07/15 - 01/08/26,Kuala Terengganu,2.2,
,NAFIDA HOLIDAYS SDN. BHD.,"K9633, GROUND FLOOR, TAMAN CHUKAI UTAMA, 24000 KEMAMAN, Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,28/09/20 - 28/09/26,Kemaman,5,
,NANG TRAVEL & TOURS SDN. BHD.,"NO. PT 2389-D (TNGKT ATS), KG MENGABANG TENGAH 20400 KUALA,TERENGGANU,TERENGGANU DARUL IMAN, Terengganu",Inbound,Ibu Pejabat,27/11/16 - 27/11/24,Kuala Terengganu,4,
,NORMA TRAVEL & TOURS SDN. BHD.,"A-751, KAMPUNG BUKIT TOK BENG, SEBERANG TAKIR, 21300 KUALA NERUS, TERENGGANU, Terengganu",Inbound,Ibu Pejabat,31/01/16 - 01/01/26,Kuala Nerus,5,
,NPT TRAVEL & TOURS SDN. BHD.,"177, FELDA KERTEH 5, KETENGAH JAYA, 23300 DUNGUN, Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,05/07/17 - 01/10/26,Dungun,3.5,
,NUFA TRAVEL & TOURS SDN. BHD.,"1042-A, KG. TOK JIRING, 21060 KUALA TERENGGANU, Terengganu",Inbound,Ibu Pejabat,31/10/16 - 31/10/26,Kuala Terengganu,4.5,
,NUN TRAVEL & TOURS SDN BHD,"LOT PT 41092-2A, TINGKAT 1, PERKEDAIAN TEPOH FASA 1, 21060 KUALA NERUS, TERENGGANU., Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,19/06/24 - 19/06/25,Kuala Nerus,3.2,
,OCEAN BLESSING TRAVEL & TOURS SDN. BHD.,"NO. 48, JALAN PASAR LAMA, KUALA BESUT, 22300 KUALA BESUT, TERENGGANU, Terengganu",Inbound,Ibu Pejabat,12/03/17 - 22/02/26,Kuala Besut,5,
,OCEAN ISLAND TRAVEL & TOURS SDN BHD,"102, Jalan Besar,22300 Besut,Terengganu Darul Iman, Terengganu",Inbound,Ibu Pejabat,19/09/14 - 19/09/25,Besut,4,
,OCEAN SUMMER TRAVEL & TOURS SDN. BHD.,"LOT 318(TINGKAT ATAS), JALAN BUKIT MOK MEK, 22000 JERTEH, Terengganu",Inbound,Ibu Pejabat,09/01/20 - 09/01/26,Jerteh,3.4,
,PENGANGKUTAN IMALA TRAVEL & TOURS SDN BHD,"B-20,Taman Seri Gelugor,20050 Kuala Terengganu,Terengganu Darul Iman, Terengganu",Inbound,Ibu Pejabat,18/12/15 - 25/03/27,Kuala Terengganu,4.4,
,PERHENTIAN BLUE WAVE HOLIDAYS SDN. BHD,"NO.1, BILIK BERKUNCI, TINGKAT ATAS, PASAR BESAR DUNGUN, 23000 DUNGUN, TERENGGANU., Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,14/07/16 - 14/10/27,Dungun,5,
,PERHENTIAN CORAL TRAVEL & TOURS SDN. BHD.,"No. 89A, Depan Stesen Bas Kuala Besut, 22300 K. Besut, Trg., Terengganu","Inbound, Ticketing",Ibu Pejabat,19/04/16 - 07/12/25,Kuala Besut,3.5,
,PERHENTIAN SETIA TRAVEL & TOURS SDN. BHD,"S10, Terminal Pelancongan Kuala Besut, 22300 Besut, Terengganu, Terengganu",Inbound,Ibu Pejabat,12/05/16 - 27/09/25,Besut,2.8,
,PERHENTIAN TRANS HOLIDAY SDN. BHD,"B9, Plaza Mara Kuala Besut, Depan Terminal Pelancongan MDB,22300 Besut, Terengganu, Terengganu",Inbound,Ibu Pejabat,01/07/15 - 17/07/26,Besut,5,
,PING ANCHORAGE TRAVEL & TOURS SDN. BHD.,"77A, TKT 1 JLN SULTAN SULAIMAN, 20000 K.TRG, Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,31/12/15 - 31/12/25,Kuala Terengganu,4,
,PRESTIGE OVERLAND DISCOVERY SDN BHD,"K-7146, TINGKAT 1, JALAN PERSIARAN GUNTUNG, BANDAR BARU KERTEH, 24300 KERTEH, TERENGGANU., Terengganu",Inbound,Ibu Pejabat,16/01/24 - 16/01/25,Kerteh,3.6,
,PULAU PERHENTIAN TERMINAL SDN. BHD.,"PEJABAT PELANCONGAN NO.2, JALAN PANTAI, 22300 KUALA BESUT, Terengganu","Inbound, Ticketing",Ibu Pejabat,27/02/19 - 21/03/26,Kuala Besut,4,
,PUNCAK GELIGA HOLIDAYS SDN. BHD.,"No. 543, Tingkat 1, Jalan Sulaiman, 24000 Cukai, Terengganu",Inbound,Ibu Pejabat,01/04/17 - 29/04/26,Cukai,no review yet,
,PWSA TRAVEL & TOURS SDN. BHD,"Tingkat 6, Wisma Seri Amar, Jln Sultan Ismail, 20200 Kuala Terengganu, Terengganu","Inbound, Outbound, Ticketing",Ibu Pejabat,20/04/17 - 21/10/26,Kuala Terengganu,no review yet,